Day;Hour;Minute;InverterPVActualActivePower;ActivePowerAbsorbedFromGrid;InverterConsumerActivePowerLoad;ActivePowerInjectedToGrid
20;18;30;0;275;19;0
20;18;45;0;225;21;0
20;19;00;0;245;18;0
20;19;15;0;255;21;0
20;19;30;0;230;20;0
20;19;45;0;270;19;0
20;20;00;0;165;21;0
20;20;15;0;250;19;0
20;20;30;0;150;20;0
20;20;45;0;150;8;0
20;21;00;0;125;8;0
20;21;15;0;115;6;0
20;21;30;0;242;7;0
20;21;45;0;168;19;0
20;22;00;0;185;20;0
20;22;15;0;205;21;0
20;22;30;0;150;20;0
20;22;45;0;110;21;0
20;23;00;0;120;20;0
20;23;15;0;110;21;0
20;23;30;0;100;20;0
20;23;45;0;125;20;0
21;00;00;0;115;19;0
21;00;15;0;110;21;0
21;00;30;0;100;8;0
21;00;45;0;90;7;0
21;01;00;0;85;6;0
21;01;15;0;130;8;0
21;01;30;0;195;13;0
21;01;45;0;260;19;0
21;02;00;0;140;21;0
21;02;15;0;90;21;0
21;02;30;0;65;20;0
21;02;45;0;85;20;0
21;03;00;0;75;20;0
21;03;15;0;70;20;0
21;03;30;0;90;19;0
21;03;45;0;60;21;0
21;04;00;0;55;14;0
21;04;15;0;55;7;0
21;04;30;0;50;7;0
21;04;45;0;55;7;0
21;05;00;0;75;7;0
21;05;15;0;60;7;0
21;05;30;0;125;7;0
21;05;45;0;110;17;0
21;06;00;0;110;21;0
21;06;15;0;100;19;0
21;06;30;0;100;20;0
21;06;45;0;70;20;0
21;07;00;0;65;19;0
21;07;15;0;75;21;0
21;07;30;0;55;19;0
21;07;45;0;65;20;0
21;08;00;0;80;19;0
21;08;15;0;100;20;0
21;08;30;0;120;10;0
21;08;45;0;190;8;0
21;09;00;0;175;7;0
21;09;15;0;125;14;0
21;09;30;0;225;20;0
21;09;45;10;195;19;0
21;10;00;0;170;18;0
21;10;15;0;150;20;0
21;10;30;10;135;19;0
21;10;45;4.999999999;205;20;0
21;11;00;4.000000001;140;20;0
21;11;15;10;150;19;0
21;11;30;0;160;19;0
21;11;45;9.999999998;180;20;0
21;12;00;10;170;15;0
21;12;15;9;160;7;0
21;12;30;22;170;7;0
21;12;45;29;130;7;0
21;13;00;25;150;7;0
21;13;15;26;150;7;0
21;13;30;24;150;6;0
21;13;45;25;300;10;0
21;14;00;19;655;20;0
21;14;15;22;445;20;0
21;14;30;10;470;20;0
21;14;45;9;530;20;0
21;15;00;0;605;19;0
21;15;15;0;575;21;0
21;15;30;0;650;20;0
21;15;45;0;150;19;0
21;16;00;0;150;20;0
21;16;15;0;150;19;0
21;16;30;0;150;11;0
21;16;45;0;190;7;0
21;17;00;0;235;7;0
21;17;15;0;210;6;0
21;17;30;0;305;8;0
21;17;45;0;285;18;0
21;18;00;0;255;20;0
21;18;15;0;245;22;0
21;18;30;0;235;21;0
21;18;45;0;180;18;0
21;19;00;0;205;21;0
21;19;15;0;205;19;0
21;19;30;0;200;19;0
21;19;45;0;170;21;0
21;20;00;0;190;19;0
21;20;15;0;155;21;0
21;20;30;0;175;12;0
21;20;45;0;230;11;0
21;21;00;0;165;21;0
21;21;15;0;185;21;0
21;21;30;0;170;20;0
21;21;45;0;90;19;0
21;22;00;0;115;20;0
21;22;15;0;115;19;0
21;22;30;0;110;21;0
21;22;45;0;130;20;0
21;23;00;0;130;19;0
21;23;15;0;115;21;0
21;23;30;0;95;7;0
21;23;45;0;105;7;0
22;00;00;0;185;7;0
22;00;15;0;160;19;0
22;00;30;0;190;20;0
22;00;45;0;160;21;0
22;01;00;0;120;19;0
22;01;15;0;120;20;0
22;01;30;0;110;20;0
22;01;45;0;120;21;0
22;02;00;0;130;20;0
22;02;15;0;120;19;0
22;02;30;0;115;20;0
22;02;45;0;100;14;0
22;03;00;0;50;7;0
22;03;15;0;50;6;0
22;03;30;0;160;8;0
22;03;45;0;115;18;0
22;04;00;0;145;20;0
22;04;15;0;155;21;0
22;04;30;0;120;20;0
22;04;45;0;105;20;0
22;05;00;0;120;20;0
22;05;15;0;115;19;0
22;05;30;0;130;21;0
22;05;45;0;115;20;0
22;06;00;0;100;20;0
22;06;15;0;105;14;0
22;06;30;0;95;6;0
22;06;45;0;95;8;0
22;07;00;0;95;6;0
22;07;15;0;185;7;0
22;07;30;0;130;19;0
22;07;45;0;140;20;0
22;08;00;0;140;21;0
22;08;15;0;100;19;0
22;08;30;0;110;20;0
22;08;45;0;110;19;0
22;09;00;0;90;20;0
22;09;15;0;90;19;0
22;09;30;0;95;20;0
22;09;45;0;85;18;0
22;10;00;10;90;20;0
22;10;15;0;110;13;0
22;10;30;4.999999999;305;6;0
22;10;45;4.999999999;300;7;0
22;11;00;10;145;20;0
22;11;15;5.000000001;180;20;0
22;11;30;3.999999999;140;20;0
22;11;45;12;110;19;0
22;12;00;10;90;20;0
22;12;15;10;120;19;0
22;12;30;10;115;20;0
22;12;45;14;105;19;0
22;13;00;25;325;20;0
22;13;15;26;495;20;0
22;13;30;24;240;20;0
22;13;45;30;100;16;0
22;14;00;21;80;7;0
22;14;15;20;55;7;0
22;14;30;19;65;7;0
22;14;45;9.999999998;90;7;0
22;15;00;10;155;12;0
22;15;15;0;145;20;0
22;15;30;0;195;20;0
22;15;45;0;175;19;0
22;16;00;0;150;20;0
22;16;15;0;140;20;0
22;16;30;0;145;20;0
22;16;45;0;600;19;0
22;17;00;0;305;20;0
22;17;15;0;180;19;0
22;17;30;0;180;20;0
22;17;45;0;160;16;0
22;18;00;0;150;7;0
22;18;15;0;240;7;0
22;18;30;0;220;15;0
22;18;45;0;240;20;0
22;19;00;0;245;19;0
22;19;15;0;205;21;0
22;19;30;0;215;22;0
22;19;45;0;270;20;0
22;20;00;0;250;19;0
22;20;15;0;235;21;0
22;20;30;0;235;20;0
22;20;45;0;225;19;0
22;21;00;0;225;21;0
22;21;15;0;310;12;0
22;21;30;0;250;20;0
22;21;45;0;280;20;0
22;22;00;0;285;21;0
22;22;15;0;235;20;0
22;22;30;0;220;19;0
22;22;45;0;210;21;0
22;23;00;0;215;19;0
22;23;15;0;225;20;0
22;23;30;0;195;21;0
22;23;45;0;160;19;0
23;00;00;0;160;21;0
23;00;15;0;120;12;0
23;00;30;0;120;7;0
23;00;45;0;135;7;0
23;01;00;0;185;11;0
23;01;15;0;130;20;0
23;01;30;0;140;20;0
23;01;45;0;95;21;0
23;02;00;0;60;19;0
23;02;15;0;80;20;0
23;02;30;0;55;21;0
23;02;45;0;70;20;0
23;03;00;0;85;20;0
23;03;15;0;75;20;0
23;03;30;0;65;20;0
23;03;45;0;70;19;0
23;04;00;0;40;6;0
23;04;15;0;55;8;0
23;04;30;0;130;6;0
23;04;45;0;110;15;0
23;05;00;0;130;19;0
23;05;15;0;115;20;0
23;05;30;0;80;19;0
23;05;45;0;70;21;0
23;06;00;0;80;18;0
23;06;15;0;95;20;0
23;06;30;0;105;20;0
23;06;45;0;80;18;0
23;07;00;0;60;21;0
23;07;15;0;75;14;0
23;07;30;0;55;6;0
23;07;45;0;55;8;0
23;08;00;0;125;7;0
23;08;15;0;275;10;0
23;08;30;0;195;24;0
23;08;45;0;275;21;0
23;09;00;0;130;19;0
23;09;15;0;175;21;0
23;09;30;0;195;19;0
23;09;45;9;185;20;0
23;10;00;6.000000001;175;18;0
23;10;15;16;160;20;0
23;10;30;20;130;19;0
23;10;45;29;140;19;0
23;11;00;25;150;20;0
23;11;15;30;140;18;0
23;11;30;35;150;20;0
23;11;45;41;150;20;0
23;12;00;48;120;14;0
23;12;15;51;110;7;0
23;12;30;51;130;7;0
23;12;45;68;355;7;0
23;13;00;66;205;7;0
23;13;15;65;290;7;0
23;13;30;66;250;16;0
23;13;45;53;215;19;0
23;14;00;41;265;20;0
23;14;15;39;230;19;0
23;14;30;46;235;20;0
23;14;45;56;235;20;0
23;15;00;54;245;20;0
23;15;15;36;240;22;0
23;15;30;24;220;21;0
23;15;45;25;195;19;0
23;16;00;5.000000001;305;12;0
23;16;15;3.999999999;280;20;0
23;16;30;0;265;19;0
23;16;45;0;275;21;0
23;17;00;0;195;19;0
23;17;15;0;150;19;0
23;17;30;0;170;20;0
23;17;45;0;200;18;0
23;18;00;0;225;20;0
23;18;15;0;225;19;0
23;18;30;0;190;20;0
23;18;45;0;220;20;0
23;19;00;0;200;12;0
23;19;15;0;200;6;0
23;19;30;0;305;7;0
23;19;45;0;250;17;0
23;20;00;0;235;19;0
23;20;15;0;240;20;0
23;20;30;0;200;19;0
23;20;45;0;160;21;0
23;21;00;0;190;19;0
23;21;15;0;180;19;0
23;21;30;0;160;21;0
23;21;45;0;145;20;0
23;22;00;0;145;20;0
23;22;15;0;140;12;0
23;22;30;0;160;7;0
23;22;45;0;160;7;0
23;23;00;0;250;8;0
23;23;15;0;210;17;0
23;23;30;0;220;21;0
23;23;45;0;200;19;0
24;00;00;0;190;21;0
24;00;15;0;150;19;0
24;00;30;0;160;20;0
24;00;45;0;160;20;0
24;01;00;0;110;19;0
24;01;15;0;90;20;0
24;01;30;0;100;19;0
24;01;45;0;90;20;0
24;02;00;0;90;14;0
24;02;15;0;90;7;0
24;02;30;0;60;6;0
24;02;45;0;50;8;0
24;03;00;0;55;7;0
24;03;15;0;40;6;0
24;03;30;0;70;7;0
24;03;45;0;175;7;0
24;04;00;0;95;15;0
24;04;15;0;115;21;0
24;04;30;0;110;19;0
24;04;45;0;65;20;0
24;05;00;0;85;19;0
24;05;15;0;85;20;0
24;05;30;0;85;19;0
24;05;45;0;75;20;0
24;06;00;0;80;20;0
24;06;15;0;60;19;0
24;06;30;0;90;19;0
24;06;45;0;65;12;0
24;07;00;0;55;7;0
24;07;15;0;60;6;0
24;07;30;0;40;7;0
24;07;45;0;140;7;0
24;08;00;0;135;15;0
24;08;15;0;230;23;0
24;08;30;0;290;21;0
24;08;45;0;230;21;0
24;09;00;0;165;18;0
24;09;15;0;185;21;0
24;09;30;0;180;18;0
24;09;45;0;140;20;0
24;10;00;0;140;19;0
24;10;15;0;150;18;0
24;10;30;0;120;21;0
24;10;45;0;125;18;0
24;11;00;0;125;19;0
24;11;15;12;110;19;0
24;11;30;0;140;20;0
24;11;45;10;125;14;0
24;12;00;0;235;7;0
24;12;15;10;175;19;0
24;12;30;10;175;19;0
24;12;45;9;180;20;0
24;13;00;0;630;20;0
24;13;15;0;470;19;0
24;13;30;0;180;18;0
24;13;45;0;200;20;0
24;14;00;0;160;20;0
24;14;15;10;170;19;0
24;14;30;0;200;20;0
24;14;45;0;200;20;0
24;15;00;0;290;7;0
24;15;15;0;255;21;0
24;15;30;0;250;18;0
24;15;45;0;250;21;0
24;16;00;0;230;22;0
24;16;15;0;195;21;0
24;16;30;0;195;19;0
24;16;45;0;195;21;0
24;17;00;0;265;19;0
24;17;15;0;190;20;0
24;17;30;0;250;20;0
24;17;45;0;280;19;0
24;18;00;0;320;20;0
24;18;15;0;300;19;0
24;18;30;0;480;19;0
24;18;45;0;305;20;0
24;19;00;0;160;20;0
24;19;15;0;190;20;0
24;19;30;0;490;19;0
24;19;45;0;215;20;0
24;20;00;0;215;20;0
24;20;15;0;210;19;0
24;20;30;0;160;7;0
24;20;45;0;190;9;0
24;21;00;0;150;20;0
24;21;15;0;160;20;0
24;21;30;0;160;19;0
24;21;45;0;130;21;0
24;22;00;0;100;20;0
24;22;15;0;110;19;0
24;22;30;0;105;21;0
24;22;45;0;105;19;0
24;23;00;0;120;21;0
24;23;15;0;130;18;0
24;23;30;0;105;7;0
24;23;45;0;125;8;0
25;00;00;0;100;6;0
25;00;15;0;110;7;0
25;00;30;0;140;7;0
25;00;45;0;245;8;0
25;01;00;0;200;19;0
25;01;15;0;215;21;0
25;01;30;0;195;20;0
25;01;45;0;155;21;0
25;02;00;0;155;19;0
25;02;15;0;105;20;0
25;02;30;0;110;20;0
25;02;45;0;120;19;0
25;03;00;0;105;21;0
25;03;15;0;90;19;0
25;03;30;0;75;19;0
25;03;45;0;45;6;0
25;04;00;0;50;7;0
25;04;15;0;70;7;0
25;04;30;0;60;7;0
25;04;45;0;65;7;0
25;05;00;0;160;8;0
25;05;15;0;105;19;0
25;05;30;0;115;20;0
25;05;45;0;105;19;0
25;06;00;0;85;20;0
25;06;15;0;100;19;0
25;06;30;0;80;20;0
25;06;45;0;80;19;0
25;07;00;0;80;19;0
25;07;15;0;70;19;0
25;07;30;0;65;20;0
25;07;45;0;75;19;0
25;08;00;0;60;7;0
25;08;15;0;60;6;0
25;08;30;0;75;8;0
25;08;45;0;55;6;0
25;09;00;0;160;11;0
25;09;15;0;115;19;0
25;09;30;0;105;20;0
25;09;45;0;190;18;0
25;10;00;0;145;20;0
25;10;15;9.999999998;70;19;0
25;10;30;10;80;20;0
25;10;45;0;75;19;0
25;11;00;9;60;19;0
25;11;15;12;65;19;0
25;11;30;10;90;17;0
25;11;45;14;85;8;0
25;12;00;15;240;14;0
25;12;15;20;130;19;0
25;12;30;31;120;20;0
25;12;45;29;355;20;0
25;13;00;29;445;19;0
25;13;15;22;215;20;0
25;13;30;20;85;19;0
25;13;45;29;60;20;0
25;14;00;31;50;19;0
25;14;15;20;110;20;0
25;14;30;19;150;14;0
25;14;45;9.999999998;230;7;0
25;15;00;19;240;17;0
25;15;15;0;275;22;0
25;15;30;0;285;21;0
25;15;45;0;230;19;0
25;16;00;0;220;20;0
25;16;15;0;180;20;0
25;16;30;0;195;19;0
