Day;Hour;Minute;InverterPVActualActivePower;ActivePowerAbsorbedFromGrid;InverterConsumerActivePowerLoad
04;04;45;0;119;895
04;05;00;0;120;575
04;05;15;0;130;935
04;05;30;0;120;550
04;05;45;0;111;471
04;06;00;0;119;934
04;06;15;0;110;449
04;06;30;0;120;941
04;06;45;0;119;250
04;07;00;0;97;330
04;07;15;0;119;570
04;07;30;0;105;280
04;07;45;0;150;535
04;08;00;0;240;945
04;08;15;0;130;170
04;08;30;0;159;869
04;08;45;0;336;401
04;09;00;0;485;35
04;09;15;0;160;795
04;09;30;0;421;485
04;09;45;0;979;226
04;10;00;0;151;710
04;10;15;0;139;508
04;10;30;7.999999998;315;61
04;10;45;12;170;945
04;11;00;6.999999998;94;215
04;11;15;12;121;580
04;11;30;8.000000002;90;10
04;11;45;0;119;850
04;12;00;12;85;70
04;12;15;8.000000002;71;0
04;12;30;31;85;0
04;12;45;31;160;10
04;13;00;51;150;760
04;13;15;47;105;11
04;13;30;50;126;379
04;13;45;51;119;830
04;14;00;20;80;80
04;14;15;11;99;410
04;14;30;7.999999998;112;571
04;14;45;12;109;259
04;15;00;8.000000002;105;241
04;15;15;12;455;650
04;15;30;0;725;89
04;15;45;0;295;940
04;16;00;0;114;51
04;16;15;0;156;629
04;16;30;0;131;320
04;16;45;0;133;311
04;17;00;0;221;459
04;17;15;0;205;511
04;17;30;0;196;69
04;17;45;0;174;0
04;18;00;0;119;5
04;18;15;0;141;5
04;18;30;0;160;780
04;18;45;0;199;899
04;19;00;0;106;5.999999999
04;19;15;0;210;915
04;19;30;0;206;220
04;19;45;0;189;631
04;20;00;0;175;274
04;20;15;0;185;275
04;20;30;0;170;420
04;20;45;0;160;195
04;21;00;0;200;785
04;21;15;0;140;10
04;21;30;0;190;430
04;21;45;0;215;255
04;22;00;0;245;494
04;22;15;0;190;522
04;22;30;0;150;15
04;22;45;0;180;869
04;23;00;0;121;5
04;23;15;0;119;49
04;23;30;0;150;1061
04;23;45;0;90;130
05;00;00;0;100;10
05;00;15;0;80;0
05;00;30;0;85;0
05;00;45;0;85;9
05;01;00;0;94;161
05;01;15;0;107;410
05;01;30;0;99;19
05;01;45;0;90;0
05;02;00;0;115;401
05;02;15;0;85;0
05;02;30;0;111;441
05;02;45;0;90;10
05;03;00;0;114;410
05;03;15;0;104;89
05;03;30;0;95;319
05;03;45;0;107;331
05;04;00;0;89;60
05;04;15;0;115;420
05;04;30;0;94;190
05;04;45;0;141;891
05;05;00;0;126;929
05;05;15;0;114;450
05;05;30;0;119;924
05;05;45;0;112;341
05;06;00;0;119;915
05;06;15;0;136;360
05;06;30;0;124;815
05;06;45;0;121;470
05;07;00;0;119;846
05;07;15;0;109;205
05;07;30;0;107;513
05;07;45;0;134;670
05;08;00;0;140;351
05;08;15;0;180;581
05;08;30;0;104;359
05;08;45;0;107;155
05;09;00;0;99;375
05;09;15;0;129;509
05;09;30;0;121;211
05;09;45;0;151;750
05;10;00;0;109;0
05;10;15;0;136;861
05;10;30;0;114;149
05;10;45;7.000000001;119;391
05;11;00;18;121;49
05;11;15;84;110;400
05;11;30;70;104;0
05;11;45;12;151;250
05;12;00;0;425;70
05;12;15;0;451;10
05;12;30;0;124;0
05;12;45;0;111;0
05;13;00;7.999999998;114;500
05;13;15;19;100;435
05;13;30;39;95;65
05;13;45;24;85;10
05;14;00;0;106;340
05;14;15;7.999999998;74;105
05;14;30;0;96;285
05;14;45;0;95;310
05;15;00;0;104;479
05;15;15;0;146;801
05;15;30;0;109;479
05;15;45;0;180;201
05;16;00;0;126;586
05;16;15;0;144;710
05;16;30;0;120;394
05;16;45;0;160;841
05;17;00;0;129;475
05;17;15;0;121;174
05;17;30;0;185;70
05;17;45;0;270;0
05;18;00;0;385;9
05;18;15;0;141;0
05;18;30;0;159;776
05;18;45;0;175;595
05;19;00;0;176;930
05;19;15;0;160;409
05;19;30;0;180;961
05;19;45;0;139;50
05;20;00;0;130;521
05;20;15;0;141;479
05;20;30;0;138;430
05;20;45;0;151;0
05;21;00;0;179;375
05;21;15;0;192;105
05;21;30;0;154;10
05;21;45;0;195;320
05;22;00;0;161;10
05;22;15;0;170;0
05;22;30;0;184;360
05;22;45;0;170;9
05;23;00;0;165;436
05;23;15;0;170;846
05;23;30;0;75;9
05;23;45;0;80;0
06;00;00;0;110;379
06;00;15;0;75;0
06;00;30;0;104;401
06;00;45;0;76;25
06;01;00;0;106;506
06;01;15;0;85;130
06;01;30;0;109;339
06;01;45;0;90;230
06;02;00;0;95;231
06;02;15;0;95;480
06;02;30;0;89;39
06;02;45;0;81;190
06;03;00;0;121;560
06;03;15;0;80;29
06;03;30;0;119;641
06;03;45;0;75;119
06;04;00;0;114;621
06;04;15;0;75;80
06;04;30;0;117;380
06;04;45;0;119;910
06;05;00;0;116;590
06;05;15;0;114;940
06;05;30;0;110;546
06;05;45;0;121;968
06;06;00;0;99;362
06;06;15;0;129;939
06;06;30;0;112;615
06;06;45;0;109;290
06;07;00;0;95;521
06;07;15;0;126;699
06;07;30;0;94;471
06;07;45;0;156;649
06;08;00;0;229;1015
06;08;15;0;176;306
06;08;30;0;144;954
06;08;45;0;121;496
06;09;00;0;604;670
06;09;15;11;405;298
06;09;30;14;670;0
06;09;45;25;300;711
06;10;00;32;250;0
06;10;15;33;806;260
06;10;30;56;404;566
06;10;45;65;131;3.999999999
06;11;00;64;134;440
06;11;15;71;116;0
06;11;30;74;129;434
06;11;45;74;121;15
06;12;00;76;119;141
06;12;15;76;131;0
06;12;30;79;143;359
06;12;45;76;156;456
06;13;00;70;136;409
06;13;15;72;128;286
06;13;30;71;117;9
06;13;45;70;138;381
06;14;00;62;131;0
06;14;15;47;105;10
06;14;30;24;126;221
06;14;45;0;124;0
06;15;00;0;211;604
06;15;15;0;189;396
06;15;30;0;125;9
06;15;45;0;149;780
06;16;00;0;151;9
06;16;15;0;245;501
06;16;30;0;230;281
06;16;45;0;165;258
06;17;00;0;180;572
06;17;15;0;185;340
06;17;30;0;184;0
06;17;45;0;182;820
06;18;00;0;170;449
06;18;15;0;194;920
06;18;30;0;180;480
06;18;45;0;200;975
06;19;00;0;165;949
06;19;15;0;170;596
06;19;30;0;186;725
06;19;45;0;199;980
06;20;00;0;175;566
06;20;15;0;195;969
06;20;30;0;245;981
06;20;45;0;176;69
06;21;00;0;199;960
06;21;15;0;205;631
06;21;30;0;200;709
06;21;45;0;170;325
06;22;00;0;175;1000
06;22;15;0;146;56
06;22;30;0;184;974
06;22;45;0;180;776
06;23;00;0;126;0
06;23;15;0;109;499
06;23;30;0;114;700
06;23;45;0;66;0
07;00;00;0;85;10
07;00;15;0;90;400
07;00;30;0;94;0
07;00;45;0;107;449
07;01;00;0;80;0
07;01;15;0;124;590
07;01;30;0;90;72
07;01;45;0;85;329
07;02;00;0;116;429
07;02;15;0;90;200
07;02;30;0;104;431
07;02;45;0;75;69
07;03;00;0;95;312
07;03;15;0;105;594
07;03;30;0;80;25
07;03;45;0;131;830
07;04;00;0;104;440
07;04;15;0;95;370
07;04;30;0;90;210
07;04;45;0;131;960
07;05;00;0;109;961
07;05;15;0;120;594
07;05;30;0;120;975
07;05;45;0;119;699
07;06;00;0;97;586
07;06;15;0;119;875
07;06;30;0;80;29
07;06;45;0;95;311
07;07;00;0;126;970
07;07;15;0;114;344
07;07;30;0;119;991
07;07;45;0;182;375
07;08;00;0;164;565
07;08;15;0;234;935
07;08;30;0;192;0
07;08;45;0;189;611
07;09;00;0;130;0
07;09;15;0;150;420
07;09;30;0;160;215
07;09;45;0;145;183
07;10;00;0;155;471
07;10;15;3.999999997;140;731
07;10;30;4.000000001;120;9
07;10;45;11;119;481
07;11;00;4.000000001;131;524
07;11;15;20;110;185
07;11;30;27;135;490
07;11;45;27;105;0
07;12;00;32;306;10
07;12;15;19;604;0
07;12;30;12;109;0
07;12;45;7.999999998;112;0
07;13;00;15;199;746
07;13;15;16;165;924
07;13;30;20;131;509
07;13;45;7.000000001;99;346
07;14;00;12;85;135
07;14;15;12;140;769
07;14;30;7.999999998;106;430
07;14;45;0;99;115
07;15;00;0;136;976
07;15;15;0;313;620
07;15;30;0;96;450
07;15;45;0;140;954
07;16;00;0;104;276
07;16;15;0;107;10
07;16;30;0;149;900
07;16;45;0;140;370
07;17;00;0;140;971
07;17;15;0;170;749
07;17;30;0;151;0
07;17;45;0;149;10
07;18;00;0;149;0
07;18;15;0;197;0
07;18;30;0;244;755
07;18;45;0;295;954
07;19;00;0;280;372
07;19;15;0;205;954
07;19;30;0;170;54
07;19;45;0;205;532
07;20;00;0;165;0
07;20;15;0;165;304
07;20;30;0;164;26
07;20;45;0;256;35
07;21;00;0;630;394
07;21;15;0;340;606
07;21;30;0;184;224
07;21;45;0;236;495
07;22;00;0;456;275
07;22;15;0;159;320
07;22;30;0;140;731
07;22;45;0;90;0
07;23;00;0;111;359
07;23;15;0;148;965
07;23;30;0;131;256
07;23;45;0;80;0
08;00;00;0;75;10
08;00;15;0;85;0
08;00;30;0;100;314
08;00;45;0;95;176
08;01;00;0;75;0
08;01;15;0;114;539
08;01;30;0;75;0
08;01;45;0;102;210
08;02;00;0;100;251
08;02;15;0;104;359
08;02;30;0;75;5.000000001
08;02;45;0;114;466
08;03;00;0;96;409
08;03;15;0;101;30
08;03;30;0;90;220
08;03;45;0;109;360
08;04;00;0;90;331
08;04;15;0;90;9
08;04;30;0;121;980
08;04;45;0;138;950
08;05;00;0;131;920
08;05;15;0;100;330
08;05;30;0;131;920
08;05;45;0;99;440
08;06;00;0;129;940
08;06;15;0;102;360
08;06;30;0;159;941
08;06;45;0;101;309
08;07;00;0;124;860
08;07;15;0;116;634
08;07;30;0;109;567
08;07;45;0;100;300
08;08;00;0;140;889
08;08;15;0;81;15
08;08;30;0;155;945
08;08;45;0;680;200
08;09;00;0;189;590
08;09;15;0;104;30
08;09;30;0;141;499
08;09;45;0;100;591
08;10;00;0;116;480
08;10;15;0;74;25
08;10;30;0;260;940
08;10;45;0;295;156
08;11;00;11;104;29
08;11;15;0;131;641
08;11;30;0;124;10
08;11;45;0;116;279
08;12;00;0;100;135
08;12;15;0;120;134
08;12;30;0;91;10
08;12;45;0;199;522
08;13;00;0;210;0
08;13;15;0;205;354
08;13;30;0;100;109
08;13;45;0;121;326
08;14;00;0;124;0
08;14;15;0;170;841
08;14;30;0;121;129
08;14;45;0;119;10
08;15;00;0;150;750
08;15;15;0;170;529
08;15;30;0;115;101
08;15;45;0;165;944
08;16;00;0;150;106
08;16;15;0;141;600
08;16;30;0;319;531
08;16;45;0;140;249
08;17;00;0;190;300
08;17;15;0;159;875
08;17;30;0;171;595
08;17;45;0;191;420
08;18;00;0;218;930
08;18;15;0;186;320
08;18;30;0;215;779
08;18;45;0;206;586
08;19;00;0;204;241
08;19;15;0;216;74
08;19;30;0;245;711
08;19;45;0;199;0
08;20;00;0;226;455
08;20;15;0;223;613
08;20;30;0;182;0
08;20;45;0;214;530
08;21;00;0;221;441
08;21;15;0;194;0
08;21;30;0;211;600
08;21;45;0;209;361
08;22;00;0;250;0
08;22;15;0;220;364
08;22;30;0;170;614
08;22;45;0;151;12
08;23;00;0;119;0
08;23;15;0;126;318
08;23;30;0;68;0
08;23;45;0;92;0
09;00;00;0;68;10
09;00;15;0;80;0
09;00;30;0;66;0
09;00;45;0;80;22
09;01;00;0;109;548
09;01;15;0;80;10
09;01;30;0;95;261
09;01;45;0;92;200
09;02;00;0;68;10
09;02;15;0;117;609
09;02;30;0;70;12
09;02;45;0;99;364
09;03;00;0;110;325
09;03;15;0;70;0
09;03;30;0;119;690
09;03;45;0;71;0
09;04;00;0;111;591
09;04;15;0;73;69
09;04;30;0;112;330
09;04;45;0;94;150
09;05;00;0;114;670
09;05;15;0;107;650
09;05;30;0;109;661
09;05;45;0;90;438
09;06;00;0;124;861
09;06;15;0;107;370
09;06;30;0;179;920
09;06;45;0;160;1030
09;07;00;0;120;550
09;07;15;0;111;681
09;07;30;0;109;664
09;07;45;0;110;349
09;08;00;0;145;647
09;08;15;0;185;554
09;08;30;0;160;475
09;08;45;0;141;680
09;09;00;0;165;0
09;09;15;0;209;730
09;09;30;0;121;340
09;09;45;0;85;10
09;10;00;0;89;370
09;10;15;0;120;649
09;10;30;0;70;10
09;10;45;0;109;461
09;11;00;0;91;140
09;11;15;0;295;460
09;11;30;0;620;474
09;11;45;0;390;186
09;12;00;0;95;0
09;12;15;0;121;40
09;12;30;0;129;530
09;12;45;0;169;0
09;13;00;0;71;10
09;13;15;0;110;371
09;13;30;0;86;270
09;13;45;0;84;0
09;14;00;0;101;418
09;14;15;0;119;601
09;14;30;0;90;10
09;14;45;0;130;260
09;15;00;0;129;435
09;15;15;0;121;55
09;15;30;0;151;921
09;15;45;0;134;188
09;16;00;0;135;365
09;16;15;0;161;920
09;16;30;0;124;397
09;16;45;0;155;709
09;17;00;0;345;900
09;17;15;0;300;380
09;17;30;0;141;69
09;17;45;0;119;0
09;18;00;0;114;0
09;18;15;0;112;10
09;18;30;0;170;856
09;18;45;0;218;756
09;19;00;0;192;439
09;19;15;0;184;900
09;19;30;0;275;40
09;19;45;0;170;540
09;20;00;0;116;0
09;20;15;0;154;340
09;20;30;0;181;450
09;20;45;0;148;9
09;21;00;0;177;451
09;21;15;0;144;0
09;21;30;0;170;185
09;21;45;0;169;235
09;22;00;0;192;0
09;22;15;0;184;10
09;22;30;0;230;805
09;22;45;0;176;15
09;23;00;0;179;10
09;23;15;0;110;150
09;23;30;0;131;190
09;23;45;0;138;0
10;00;00;0;75;10
10;00;15;0;81;0
10;00;30;0;85;211
10;00;45;0;75;0
10;01;00;0;75;84
10;01;15;0;114;525
10;01;30;0;80;0
10;01;45;0;107;510
10;02;00;0;80;210
10;02;15;0;99;280
10;02;30;0;85;380
10;02;45;0;90;60
10;03;00;0;105;451
10;03;15;0;90;69
10;03;30;0;106;650
10;03;45;0;80;10
10;04;00;0;90;390
10;04;15;0;104;371
10;04;30;0;80;108
10;04;45;0;134;881
10;05;00;0;107;470
10;05;15;0;119;920
10;05;30;0;104;699
10;05;45;0;107;521
10;06;00;0;99;639
10;06;15;0;120;761
10;06;30;0;111;359
10;06;45;0;109;371
10;07;00;0;225;730
10;07;15;0;150;475
10;07;30;0;150;165
10;07;45;0;150;479
10;08;00;0;146;331
10;08;15;0;119;920
10;08;30;0;80;11
10;08;45;0;104;640
10;09;00;0;206;428
10;09;15;0;321;227
10;09;30;0;160;285
10;09;45;0;119;824
10;10;00;0;120;515
10;10;15;8.000000002;440;380
10;10;30;0;90;0
10;10;45;0;255;171
10;11;00;0;221;530
10;11;15;0;68;10
10;11;30;0;116;554
10;11;45;0;115;805
10;12;00;0;94;0
10;12;15;0;81;0
10;12;30;0;100;0
10;12;45;0;101;10
10;13;00;0;109;500
10;13;15;0;90;410
10;13;30;0;109;551
10;13;45;0;85;189
10;14;00;0;102;279
10;14;15;0;85;21
10;14;30;0;119;890
10;14;45;0;80;9
10;15;00;0;80;157
10;15;15;0;109;574
10;15;30;0;101;420
10;15;45;0;91;0
10;16;00;0;139;746
10;16;15;0;111;494
10;16;30;0;104;221
10;16;45;0;135;508
10;17;00;0;130;681
10;17;15;0;141;295
10;17;30;0;119;74
10;17;45;0;116;0
10;18;00;0;95;0
10;18;15;0;114;0
10;18;30;0;136;761
10;18;45;0;209;935
10;19;00;0;160;245
10;19;15;0;216;690
10;19;30;0;459;670
10;19;45;0;270;96
10;20;00;0;280;465
10;20;15;0;156;0
10;20;30;0;149;259
10;20;45;0;150;20
10;21;00;0;160;500
10;21;15;0;150;10
10;21;30;0;150;171
10;21;45;0;209;899
10;22;00;0;131;0
10;22;15;0;119;30
10;22;30;0;141;915
10;22;45;0;109;125
10;23;00;0;112;0
10;23;15;0;149;776
10;23;30;0;101;273
10;23;45;0;69;12
11;00;00;0;80;0
11;00;15;0;70;0
11;00;30;0;80;10
11;00;45;0;94;369
11;01;00;0;90;10
11;01;15;0;97;435
11;01;30;0;80;5.999999999
11;01;45;0;90;324
11;02;00;0;80;16
11;02;15;0;114;830
11;02;30;0;114;359
11;02;45;0;91;155
11;03;00;0;101;335
11;03;15;0;80;260
11;03;30;0;99;270
11;03;45;0;95;451
11;04;00;0;85;0
11;04;15;0;105;519
11;04;30;0;99;169
11;04;45;0;107;921
11;05;00;0;119;550
11;05;15;0;110;910
